iter	Passed	Remaining
0	45	4524
1	46	2279
2	47	1526
3	47	1146
4	48	920
5	49	768
6	49	660
7	50	579
8	51	516
9	51	465
10	52	424
11	53	391
12	54	361
13	54	335
14	55	313
15	56	296
16	57	280
17	58	266
18	59	254
19	60	243
20	61	233
21	63	223
22	63	214
23	64	204
24	65	195
25	65	187
26	66	179
27	67	172
28	67	165
29	68	159
30	68	153
31	69	147
32	70	142
33	70	137
34	71	132
35	72	128
36	72	123
37	73	119
38	74	115
39	74	112
40	75	108
41	75	104
42	76	100
43	76	97
44	77	94
45	78	91
46	78	88
47	79	85
48	80	83
49	80	80
50	81	78
51	81	75
52	82	73
53	83	70
54	83	68
55	84	66
56	84	63
57	85	61
58	85	59
59	86	57
60	87	55
61	87	53
62	88	51
63	89	50
64	89	48
65	90	46
66	90	44
67	91	43
68	92	41
69	92	39
70	93	38
71	94	36
72	94	35
73	95	33
74	95	31
75	96	30
76	97	29
77	97	27
78	98	26
79	98	24
80	99	23
81	100	21
82	100	20
83	101	19
84	102	18
85	102	16
86	103	15
87	103	14
88	104	12
89	105	11
90	105	10
91	106	9
92	107	8
93	107	6
94	108	5
95	108	4
96	109	3
97	110	2
98	110	1
99	111	0
